UniversityName,UniversityCode
AFRICA INTERNATIONAL UNIVERSITY,U001
AFRICA NAZARENE UNIVERSITY,U002
AGRICULTURE AND TECHNOLOGY,U003
ALUPE UNIVERSITY,U004
AMREF INTERNATIONAL UNIVERSITY,U005
BOMET UNIVERSITY COLLEGE,U006
"CATHOLIC UNIVERSITY OF EASTERN
AFRICA",U007
CHUKA UNIVERSITY,U008
CO-OPERATIVE UNIVERSITY OF KENYA,U009
DAYSTAR UNIVERSITY,U010
"DEDAN KIMATHI UNIVERSITY OF
TECHNOLOGY",U011
EGERTON UNIVERSITY,U012
GARISSA UNIVERSITY,U013
GREAT LAKES UNIVERSITY OF KISUMU,U014
GRETSA UNIVERSITY,U015
INTERNATIONAL LEADERSHIP UNIVERSITY,U016
ISLAMIC UNIVERSITY OF KENYA,U017
"JARAMOGI OGINGA ODINGA UNIVERSITY
OF SCIENCE AND TECHNOLOGY",U018
JOMO KENYATTA UNIVERSITY OF,U019
"JOMO KENYATTA UNIVERSITY OF
AGRICULTURE AND TECHNOLOGY",U020
KABARAK UNIVERSITY,U021
KAIMOSI FRIENDS UNIVERSITY,U022
KARATINA UNIVERSITY,U023
KCA UNIVERSITY,U024
"KENYA ASSEMBLIES OF GOD EAST
UNIVERSITY",U025
"KENYA HIGHLANDS EVANGELICAL
UNIVERSITY",U026
KENYA METHODIST UNIVERSITY,U027
KENYATTA UNIVERSITY,U028
"KENYATTA UNIVERSITY - MAMA NGINA
UNIVERSITY COLLEGE",U029
KIBABII UNIVERSITY,U030
KIRINYAGA UNIVERSITY,U031
"KIRIRI WOMENS UNIVERSITY OF SCIENCE
AND TECHNOLOGY",U032
KISII UNIVERSITY,U033
KOITALEEL SAMOEI UNIVERSITY COLLEGE,U034
LAIKIPIA UNIVERSITY,U035
LUKENYA UNIVERSITY,U036
MAASAI MARA UNIVERSITY,U037
MACHAKOS UNIVERSITY,U038
MANAGEMENT UNIVERSITY OF AFRICA,U039
"MARIST INTERNATIONAL UNIVERSITY
COLLEGE",U040
MASENO UNIVERSITY,U041
"MASINDE MULIRO UNIVERSITY OF
SCIENCE & TECHNOLOGY",U042
"MERU UNIVERSITY OF SCIENCE AND
TECHNOLOGY",U043
MOI UNIVERSITY,U044
MOUNT KENYA UNIVERSITY,U045
MULTIMEDIA UNIVERSITY OF KENYA,U046
MURANG'A UNIVERSITY OF TECHNOLOGY,U047
OPEN UNIVERSITY OF KENYA,U048
PAN AFRICA CHRISTIAN UNIVERSITY,U049
"PRESBYTERIAN UNIVERSITY OF EAST
AFRICA",U050
PWANI UNIVERSITY,U051
RIARA UNIVERSITY,U052
RONGO UNIVERSITY,U053
SCOTT CHRISTIAN UNIVERSITY,U054
SOUTH EASTERN KENYA UNIVERSITY,U055
ST PAULS UNIVERSITY,U056
TAITA TAVETA UNIVERSITY,U057
TANGAZA UNIVERSITY,U058
TECHNICAL UNIVERSITY OF KENYA,U059
TECHNICAL UNIVERSITY OF MOMBASA,U060
THARAKA UNIVERSITY,U061
THE EAST AFRICAN UNIVERSITY,U062
TOM MBOYA UNIVERSITY,U063
TURKANA UNIVERSITY COLLEGE,U064
"UNIVERSITY OF EASTERN AFRICA,
BARATON",U065
UNIVERSITY OF ELDORET,U066
UNIVERSITY OF EMBU,U067
UNIVERSITY OF KABIANGA,U068
UNIVERSITY OF NAIROBI,U069
UZIMA UNIVERSITY,U070
ZETECH UNIVERSITY,U071
